job_category,employee_residence,experience_level,employment_type,work_setting,company_size,salary_in_usd_2023
Data Engineering,Germany,Mid-level,Full-time,Hybrid,L,95012.0
Data Architecture and Modeling,United States,Senior,Full-time,In-person,M,186000.0
Data Architecture and Modeling,United States,Senior,Full-time,In-person,M,81800.0
Data Science and Research,United States,Senior,Full-time,In-person,M,212000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,93300.0
Data Science and Research,United States,Senior,Full-time,Remote,M,130000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,100000.0
Machine Learning and AI,United States,Mid-level,Full-time,In-person,M,224400.0
Machine Learning and AI,United States,Mid-level,Full-time,In-person,M,138700.0
Data Engineering,United States,Executive,Full-time,Remote,M,210000.0
Data Engineering,United States,Executive,Full-time,Remote,M,168000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,224400.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,138700.0
Data Science and Research,United Kingdom,Mid-level,Full-time,In-person,M,43064.0
Data Science and Research,United Kingdom,Mid-level,Full-time,In-person,M,36912.0
Data Analysis,United States,Entry-level,Full-time,In-person,M,95000.0
Data Analysis,United States,Entry-level,Full-time,In-person,M,75000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,300000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,234000.0
Leadership and Management,United States,Mid-level,Full-time,In-person,M,140000.0
Leadership and Management,United States,Mid-level,Full-time,In-person,M,120000.0
Machine Learning and AI,United States,Mid-level,Full-time,In-person,M,204500.0
Machine Learning and AI,United States,Mid-level,Full-time,In-person,M,142200.0
Data Analysis,United States,Mid-level,Full-time,In-person,M,155000.0
Data Analysis,United States,Mid-level,Full-time,In-person,M,110000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,266500.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,152000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,L,222200.0
Data Science and Research,United States,Mid-level,Full-time,In-person,L,136000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,273400.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,182200.0
BI and Visualization,United States,Senior,Full-time,In-person,M,167500.0
BI and Visualization,United States,Senior,Full-time,In-person,M,106500.0
Data Engineering,United States,Senior,Full-time,In-person,M,185900.0
Data Engineering,United States,Senior,Full-time,In-person,M,129300.0
BI and Visualization,United States,Mid-level,Full-time,In-person,L,185000.0
BI and Visualization,United States,Mid-level,Full-time,In-person,L,79600.0
Data Engineering,United States,Senior,Full-time,In-person,M,122000.0
Data Engineering,United States,Senior,Full-time,In-person,M,94500.0
Data Engineering,United States,Senior,Full-time,In-person,M,247300.0
Data Engineering,United States,Senior,Full-time,In-person,M,139700.0
Data Analysis,United States,Senior,Full-time,In-person,M,176000.0
Data Analysis,United States,Senior,Full-time,In-person,M,100000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,204500.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,142200.0
Data Science and Research,United States,Senior,Full-time,In-person,L,247600.0
Data Science and Research,United States,Senior,Full-time,In-person,L,127300.0
Data Science and Research,United States,Senior,Full-time,Remote,M,223400.0
Data Science and Research,United States,Senior,Full-time,Remote,M,186200.0
Data Engineering,United States,Senior,Full-time,In-person,M,167500.0
Data Engineering,United States,Senior,Full-time,In-person,M,106500.0
Data Science and Research,United States,Senior,Full-time,In-person,M,185900.0
Data Science and Research,United States,Senior,Full-time,In-person,M,129300.0
Data Science and Research,United States,Entry-level,Full-time,Remote,M,72000.0
Data Science and Research,United States,Entry-level,Full-time,Remote,M,64000.0
Leadership and Management,United States,Senior,Full-time,In-person,M,179820.0
Leadership and Management,United States,Senior,Full-time,In-person,M,143860.0
Data Science and Research,United States,Senior,Full-time,In-person,M,283050.0
Data Science and Research,United States,Senior,Full-time,In-person,M,188700.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,133000.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,58400.0
Data Science and Research,United States,Senior,Full-time,In-person,M,141298.0
Data Science and Research,United States,Senior,Full-time,In-person,M,115607.0
Data Analysis,United States,Entry-level,Full-time,In-person,M,100000.0
Machine Learning and AI,Canada,Senior,Full-time,In-person,M,266500.0
Machine Learning and AI,Canada,Senior,Full-time,In-person,M,144400.0
Data Engineering,United Kingdom,Senior,Full-time,In-person,M,71363.0
Data Engineering,United Kingdom,Senior,Full-time,In-person,M,55368.0
Data Science and Research,United States,Senior,Full-time,In-person,M,287500.0
Data Science and Research,United States,Senior,Full-time,In-person,M,156000.0
Data Analysis,United States,Mid-level,Full-time,Remote,M,90000.0
Data Analysis,United States,Mid-level,Full-time,Remote,M,70000.0
Data Engineering,United States,Senior,Full-time,In-person,M,199000.0
Data Engineering,United States,Senior,Full-time,In-person,M,162000.0
Data Engineering,United States,Mid-level,Full-time,Remote,M,170884.0
Data Engineering,United States,Mid-level,Full-time,Remote,M,113923.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,184000.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,123000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,235750.0
Data Science and Research,United States,Senior,Full-time,In-person,M,174250.0
Data Science and Research,United States,Mid-level,Full-time,Remote,M,165000.0
Data Science and Research,United States,Mid-level,Full-time,Remote,M,118800.0
